Sun Jun  4 00:01:46 2023    info.dat

         389594 function calls (376557 primitive calls) in 1.617 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {method 'clear' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     1525    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\artist.py:265(axes)
      699    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\enum.py:678(__new__)
      105    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\transforms.py:2352(__init__)
  239/133    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\axes\_base.py:875(get_xaxis_transform)
       86    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\transforms.py:2051(scale)
      200    0.000    0.000    0.002    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\containers.py:73(__add__)
     39/6    0.000    0.000    0.100    0.017 <frozen importlib._bootstrap>:664(_load_unlocked)
      367    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\combinatorics\permutations.py:1378(<listcomp>)
       50    0.000    0.000    0.015    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\utilities\iterables.py:2604(minlex)
       64    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\text.py:264(set_rotation_mode)
       26    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\pathlib.py:56(parse_parts)
       60    0.000    0.000    0.011    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\lines.py:1319(update_from)
